Year,Carrier,Total
2015,13Q,6
2015,AA,244
2015,13Q,6
2015,09Q,267
2015,AA,283
2015,1HQ,2
2015,AA,216
2015,DL,105
2015,07Q,35
2015,13Q,4
2015,14Q,8
2015,KL,19955
2015,DL,46774
2015,DL,1217
2015,DL,10680
2015,DL,288
2015,DL,6278
2015,DL,1851
2015,EV,3572
2015,DL,9541
2015,DL,1569
2015,DL,9165
2015,DL,3666
2015,DL,6487
2015,DL,906
2015,AF,43194
2015,DL,26819
2015,WN,7912
2015,DL,36169
2015,AM,200
2015,DL,1343
2015,EV,961
2015,DL,185
2015,DL,6264
2015,DL,6381
2015,DL,9581
2015,DL,12506
2015,DL,16872
2015,EV,624
2015,LH,13315
2015,DL,14030
2015,DL,5162
2015,EV,1093
2015,DL,7982
2015,EV,1546
2015,DL,11609
2015,DL,17622
2015,DL,10468
2015,KE,15736
2015,DL,16813
2015,DL,5084
2015,BA,12264
2015,VS,20601
2015,DL,21086
2015,DL,13150
2015,DL,7545
2015,DL,9878
2015,DL,12527
2015,VS,14054
2015,DL,24226
2015,DL,32685
2015,DL,6169
2015,EV,10501
2015,DL,13975
2015,DL,20374
2015,DL,16749
2015,DL,5679
2015,DL,5687
2015,EV,126
2015,DL,6944
2015,WN,7799
2015,DL,18493
2015,WG,1642
2015,DL,5073
2015,DL,1319
2015,DL,6972
2015,DL,6790
2015,DL,10648
2015,DL,8866
2015,DL,3802
2015,DL,14730
2015,DL,11842
2015,DL,3388
2015,DL,5348
2015,5Y,3
2015,DL,9114
2015,DL,5913
2015,DL,5954
2015,9E,956
2015,EV,11824
2015,DL,17647
2015,QK,12874
2015,ZX,16
2015,9E,4171
2015,EV,10818
2015,WN,567
2015,MQ,50
2015,BA,11506
2015,AA,295
2015,5D,98
2015,GL,415
2015,CAZ,5
2015,AC,574
2015,QK,3569
2015,09Q,26
2015,CAZ,4
2015,09Q,498
2015,09Q,135
2015,09Q,30
2015,09Q,268
2015,NLQ,8
2015,ZX,1382
2015,ZX,2944
2015,1HQ,6
2015,PPQ,4
2015,13Q,6
2015,KAH,6
2015,0WQ,2
2015,14Q,76
2015,WS,41
2015,15Q,4
2015,15Q,5
2015,0UQ,2
2015,15Q,4
2015,1UQ,4
2015,0BQ,2
2015,SY,660
2015,SY,136
2015,SY,427
2015,13Q,4
2015,13Q,7
2015,WG,1831
2015,09Q,45
2015,GL,46
2015,ZX,5135
2015,13Q,8
2015,DL,24982
2015,15Q,1
2015,B6,10274
2015,DL,5806
2015,B6,2263
2015,AA,128
2015,AF,20156
2015,DL,8762
2015,AA,5008
2015,B6,2925
2015,EI,32019
2015,EK,18590
2015,AZ,13320
2015,LH,25474
2015,B6,142
2015,17Q,2
2015,UA,123
2015,TK,12721
2015,TK,12721
2015,17Q,2
2015,FI,13452
2015,WW,8767
2015,BA,58947
2015,VS,14280
2015,DL,8118
2015,AA,264
2015,B6,132
2015,S4,1429
2015,IB,5120
2015,5Y,93
2015,B6,209
2015,AM,4239
2015,LH,15978
2015,5Y,89
2015,B6,165
2015,VJT,2
2015,JL,9894
2015,S4,5807
2015,HU,8294
2015,B6,188
2015,B6,171
2015,CM,4129
2015,B6,2096
2015,HU,4147
2015,B6,6064
2015,EI,8615
2015,B6,2484
2015,0BQ,2
2015,B6,1300
2015,S4,221
2015,LY,4675
2015,B6,150
2015,QK,3692
2015,AC,49
2015,QK,2145
2015,PD,16741
2015,AC,48
2015,QK,10771
2015,AC,44
2015,AC,10251
2015,DL,99
2015,13Q,2
2015,KV,19247
2015,LX,11980
2015,09Q,1173
2015,09Q,871
2015,0RQ,3
2015,UA,388
2015,VS,351
2015,AC,44
2015,GL,38
2015,AC,106
2015,DL,45
2015,AC,44
2015,13Q,7
2015,0WQ,9
2015,0WQ,4
2015,WN,1358
2015,WN,9526
2015,WG,1200
2015,09Q,13
2015,WW,7405
2015,VJT,2
2015,BA,10598
2015,WN,9308
2015,WN,6096
2015,WN,7623
2015,WG,1940
2015,WN,673
2015,WN,3500
2015,QK,7006
2015,CAZ,8
2015,UA,1523
2015,F9,3328
2015,F9,1624
2015,DL,104
2015,QK,6654
2015,AA,8632
2015,AA,7288
2015,AA,23426
2015,7I,553
2015,AA,930
2015,AA,7003
2015,AA,10959
2015,OH,439
2015,AA,12019
2015,AA,5615
2015,AA,25718
2015,AA,19559
2015,AA,3412
2015,LH,10144
2015,AA,7210
2015,AA,6154
2015,AA,13440
2015,DL,123
2015,AA,4900
2015,AA,711
2015,ZW,2781
2015,AC,401
2015,ZW,2712
2015,ZX,3954
2015,YX,10757
2015,KV,101
2015,15Q,6
2015,WG,1539
2015,NLQ,8
2015,AC,45
2015,AC,44
2015,AC,44
2015,AC,40
2015,QK,4965
2015,13Q,4
2015,13Q,6
2015,AC,48
2015,EV,28
2015,OO,52
2015,EV,36
2015,EV,49
2015,EV,20
2015,OO,43
2015,DL,10560
2015,WG,1473
2015,WG,1645
2015,WG,1809
2015,ZX,4533
2015,9E,1822
2015,AC,47
2015,AC,44
2015,1HQ,9
2015,AC,166
2015,B6,2852
2015,QK,3192
2015,QK,5361
2015,ZW,4304
2015,YX,328
2015,KV,13896
2015,WN,9072
2015,UA,11784
2015,F9,11742
2015,Y4,1067
2015,LH,19676
2015,Y4,2156
2015,FI,7412
2015,BA,15919
2015,UA,648
2015,UA,11339
2015,UA,1955
2015,F9,697
2015,WN,1405
2015,UA,3293
2015,F9,770
2015,OO,1449
2015,S5,5570
2015,AC,137
2015,UA,5798
2015,OO,4821
2015,OO,5335
2015,09Q,40
2015,UA,5120
2015,OO,5179
