Year,Carrier,Total
2015,DL,47
2015,DL,47
2015,DL,47
2015,DL,45
2015,DL,48
2015,DL,82
2015,DL,47
2015,DL,98
2015,DL,46
2015,DL,44
2015,UA,267
2015,DL,281
2015,AA,99
2015,AA,993
2015,AA,9579
2015,AA,1802
2015,AA,2777
2015,DL,44
2015,DL,36
2015,DL,43
2015,DL,134
2015,DL,47
2015,AA,1244
2015,AA,408
2015,DL,49
2015,DL,96
2015,DL,48
2015,DL,41
2015,DL,43
2015,DL,44
2015,DL,85
2015,DL,38
2015,DL,35
2015,DL,93
2015,DL,47
2015,DL,183
2015,DL,48
2015,DL,40
2015,DL,49
2015,AA,1218
2015,AA,11798
2015,AA,1993
2015,AA,2831
2015,DL,53
2015,DL,138
2015,DL,46
2015,DL,90
2015,DL,39
2015,DL,43
2015,AA,1097
2015,DL,48
2015,DL,45
2015,DL,50
2015,DL,81
2015,DL,222
2015,UA,96
2015,DL,92
2015,DL,94
2015,DL,92
2015,DL,39
2015,DL,97
2015,DL,32
2015,DL,46
2015,AA,1009
2015,AA,8383
2015,AA,2146
2015,AA,3356
2015,DL,44
2015,DL,47
2015,DL,47
2015,DL,66
2015,DL,255
2015,DL,51
2015,AA,1361
2015,AA,457
2015,UA,85
2015,UA,74
2015,DL,47
2015,DL,48
2015,DL,46
2015,DL,45
2015,DL,120
2015,DL,47
2015,DL,41
2015,AA,506
2015,DL,94
2015,DL,47
2015,DL,135
2015,AA,833
2015,AA,12684
2015,AA,1915
2015,AA,2774
2015,DL,50
2015,DL,129
2015,DL,47
2015,DL,86
2015,DL,48
2015,DL,127
2015,DL,47
2015,DL,49
2015,DL,45
2015,DL,45
2015,AA,1073
2015,DL,105
2015,AA,295
2015,DL,99
2015,UA,388
2015,DL,45
2015,DL,104
2015,DL,123
2015,DL,20
2015,DL,42
2015,DL,39
2015,DL,46
2015,DL,84
2015,DL,44
2015,DL,46
2015,DL,46
2015,DL,74
2015,DL,217
2015,DL,44
2015,DL,44
2015,DL,49
2015,DL,90
2015,DL,87
2015,DL,83
2015,DL,40
2015,DL,50
2015,DL,43
2015,AA,961
2015,AA,8194
2015,AA,1851
2015,AA,2481
2015,DL,50
2015,DL,98
2015,DL,96
2015,DL,43
2015,DL,48
2015,DL,132
2015,DL,44
2015,DL,50
2015,AA,1172
2015,DL,45
2015,DL,53
2015,DL,53
2015,DL,48
2015,DL,43
2015,DL,100
2015,DL,52
2015,UA,809
2015,DL,45
2015,DL,46
2015,DL,45
2015,DL,48
2015,DL,43
2015,DL,39
2015,DL,78
2015,DL,46
2015,DL,93
2015,DL,99
2015,AA,1349
2015,AA,9689
2015,AA,2411
2015,AA,3024
2015,DL,89
2015,DL,47
2015,DL,193
2015,DL,40
2015,DL,43
2015,DL,45
2015,DL,85
2015,DL,81
2015,DL,46
2015,AA,1183
2015,DL,44
2015,DL,193
2015,DL,56
2015,DL,106
2015,DL,80
2015,UA,66
2015,DL,44
2015,DL,51
2015,DL,43
2015,DL,316
2015,DL,50
2015,DL,50
2015,DL,55
2015,AA,1079
2015,AA,9008
2015,AA,1941
2015,AA,2901
2015,DL,57
2015,UA,65
2015,DL,99
2015,AA,1127
2015,DL,56
2015,DL,110
2015,UA,65
2015,UA,116
2015,DL,60
2015,DL,51
2015,UA,56
2015,AA,1263
2015,AA,2258
2015,AA,2945
2015,DL,324
2015,UA,305
2015,DL,60
2015,DL,51
2015,DL,245
2015,AA,1408
2015,DL,56
2015,UA,56
2015,DL,57
2015,AA,1019
2015,AA,9321
2015,AA,2282
2015,AA,2983
2015,DL,58
2015,DL,64
2015,AA,1103
2015,AA,825
2015,AA,646
2015,DL,66
2015,UA,60
2015,AA,1088
2015,AA,10124
2015,AA,2532
2015,AA,3622
2015,DL,55
2015,UA,56
2015,AA,1068
2015,AA,1069
2015,DL,44
2015,DL,108
2015,UA,61
2015,AA,150
2015,UA,1136
2015,DL,59
2015,AA,151
2015,AA,1208
2015,AA,9486
2015,AA,2197
2015,AA,3202
2015,DL,53
2015,UA,59
2015,AA,153
2015,AA,882
2015,AA,976
2015,DL,140
2015,DL,43
2015,DL,132
2015,DL,84
2015,DL,59
2015,DL,120
2015,DL,71
2015,AA,1003
2015,AA,7434
2015,AA,2026
2015,AA,2321
2015,DL,99
2015,AA,121
2015,UA,60
2015,AA,870
2015,DL,66
2015,DL,2
2015,DL,4
2015,AA,25
2015,UA,25
2015,AA,30
2015,UA,32
2015,AA,35
2015,AA,35
2015,AA,38
2015,DL,38
2015,UA,40
2015,UA,41
2015,AA,41
2015,UA,46
2015,UA,46
2015,AA,47
2015,AA,48
2015,AA,49
2015,DL,50
2015,AA,53
2015,AA,55
2015,UA,55
2015,UA,55
2015,AA,55
2015,UA,56
2015,UA,56
2015,DL,56
2015,DL,56
2015,UA,57
2015,AA,57
2015,UA,59
2015,UA,59
2015,UA,61
2015,AA,62
2015,AA,63
2015,AA,63
2015,AA,64
2015,UA,65
2015,AA,65
2015,DL,66
2015,UA,67
2015,AA,68
2015,AA,68
2015,AA,69
2015,UA,69
2015,AA,70
2015,AA,70
2015,DL,71
2015,UA,71
2015,AA,72
2015,AA,72
2015,UA,73
2015,UA,73
2015,AA,73
2015,UA,73
2015,DL,74
2015,AA,74
2015,DL,75
2015,AA,75
2015,UA,76
2015,UA,76
2015,AA,76
2015,DL,76
2015,DL,77
2015,UA,77
2015,UA,79
2015,DL,79
2015,DL,79
2015,AA,80
2015,UA,80
2015,AA,81
2015,AA,82
2015,DL,82
2015,DL,82
2015,UA,84
2015,UA,84
2015,AA,84
2015,UA,84
2015,DL,84
2015,UA,85
2015,UA,85
2015,UA,86
2015,UA,86
2015,DL,86
2015,AA,86
2015,AA,87
2015,UA,87
2015,UA,87
2015,UA,87
2015,UA,88
2015,UA,88
2015,AA,88
2015,DL,89
2015,UA,90
2015,DL,90
2015,AA,91
2015,UA,91
2015,AA,91
2015,UA,91
2015,AA,91
2015,UA,91
2015,AA,92
2015,UA,92
2015,AA,92
2015,DL,92
2015,DL,93
2015,DL,93
2015,UA,93
2015,AA,94
2015,UA,95
2015,AA,96
2015,UA,96
2015,DL,96
2015,AA,96
2015,UA,97
2015,UA,97
2015,AA,97
2015,UA,98
2015,DL,98
2015,DL,98
2015,DL,99
2015,DL,99
2015,UA,100
2015,UA,100
2015,UA,101
2015,UA,101
2015,AA,101
2015,DL,102
2015,DL,102
2015,DL,102
2015,UA,102
2015,UA,103
2015,DL,103
2015,AA,103
2015,DL,103
2015,UA,104
2015,DL,104
2015,UA,104
2015,UA,104
2015,UA,104
2015,AA,104
2015,AA,104
2015,UA,104
2015,DL,105
2015,DL,105
2015,UA,105
2015,AA,105
2015,AA,105
2015,UA,105
2015,UA,105
2015,DL,105
2015,UA,106
2015,DL,106
2015,DL,106
2015,DL,106
2015,UA,106
2015,AA,9481
2015,DL,107
2015,UA,107
2015,AA,107
2015,DL,107
2015,UA,107
2015,AA,107
2015,AA,107
2015,AA,107
2015,UA,108
2015,UA,108
2015,DL,108
2015,AA,108
2015,UA,108
2015,DL,108
2015,DL,109
2015,DL,109
2015,DL,109
2015,AA,109
2015,UA,109
2015,DL,109
2015,UA,109
2015,DL,109
2015,DL,110
2015,AA,110
2015,UA,110
2015,AA,110
2015,UA,111
2015,UA,111
2015,AA,111
2015,UA,111
2015,AA,111
2015,DL,111
2015,UA,111
2015,UA,111
2015,AA,111
2015,AA,112
2015,UA,112
2015,UA,112
2015,UA,112
2015,UA,112
2015,AA,113
2015,AA,113
2015,UA,113
2015,AA,113
2015,AA,113
2015,DL,113
2015,UA,113
2015,AA,114
2015,DL,114
2015,UA,114
2015,DL,114
2015,UA,114
2015,UA,115
2015,UA,115
2015,AA,115
2015,AA,115
2015,UA,115
2015,UA,115
2015,UA,115
2015,UA,115
2015,UA,116
2015,DL,116
2015,DL,116
2015,AA,116
2015,DL,116
2015,UA,116
2015,DL,116
2015,UA,116
2015,AA,116
2015,AA,116
2015,DL,117
2015,UA,117
2015,AA,117
2015,UA,117
2015,UA,117
2015,DL,118
2015,AA,118
2015,AA,118
2015,AA,118
2015,UA,118
2015,UA,118
2015,UA,118
2015,DL,118
2015,UA,118
2015,UA,118
2015,AA,119
2015,AA,119
2015,AA,119
2015,UA,119
2015,AA,119
2015,DL,119
2015,AA,119
2015,UA,119
2015,AA,119
2015,UA,120
2015,AA,120
2015,AA,121
2015,DL,121
2015,AA,121
2015,AA,121
2015,AA,121
2015,AA,121
2015,UA,121
2015,UA,122
2015,AA,122
2015,AA,122
2015,AA,122
2015,AA,122
2015,AA,122
2015,DL,122
2015,AA,122
2015,AA,123
2015,UA,123
2015,DL,123
2015,DL,123
2015,DL,123
2015,UA,123
2015,AA,123
2015,AA,123
2015,AA,123
2015,UA,123
2015,AA,123
2015,AA,123
2015,UA,123
2015,AA,124
2015,UA,124
2015,UA,124
2015,AA,124
2015,DL,124
2015,UA,124
2015,UA,124
2015,UA,124
2015,AA,124
2015,AA,125
2015,UA,125
2015,AA,125
2015,AA,125
2015,UA,125
2015,DL,125
2015,DL,125
2015,AA,125
2015,UA,126
2015,AA,126
2015,AA,126
2015,DL,126
2015,AA,126
2015,UA,126
2015,UA,126
2015,DL,126
2015,UA,126
2015,AA,127
2015,AA,127
2015,AA,127
2015,DL,127
2015,AA,127
2015,UA,127
2015,AA,127
2015,UA,127
2015,UA,128
2015,DL,128
2015,AA,128
2015,AA,128
2015,AA,128
2015,AA,128
2015,DL,128
2015,DL,129
2015,DL,129
2015,UA,129
2015,AA,129
2015,DL,129
2015,UA,130
2015,DL,130
2015,UA,130
2015,UA,130
2015,AA,130
2015,AA,130
2015,DL,130
2015,UA,130
2015,AA,131
2015,UA,131
2015,DL,131
2015,AA,131
2015,UA,131
2015,AA,131
2015,DL,132
2015,AA,132
2015,UA,132
2015,DL,132
2015,UA,133
2015,AA,133
2015,AA,133
2015,AA,133
2015,AA,133
2015,UA,133
2015,UA,133
2015,UA,134
2015,DL,134
2015,AA,134
2015,UA,134
2015,DL,134
2015,DL,134
2015,UA,134
2015,DL,135
2015,UA,135
2015,AA,135
2015,UA,136
2015,AA,136
2015,AA,136
2015,UA,136
2015,DL,137
2015,AA,137
2015,AA,137
2015,DL,137
2015,DL,137
2015,DL,137
2015,UA,137
2015,UA,138
2015,DL,138
2015,UA,138
2015,AA,138
2015,AA,138
2015,AA,138
2015,UA,138
2015,UA,138
2015,AA,138
2015,UA,139
2015,UA,139
2015,UA,139
2015,AA,139
2015,UA,140
2015,AA,140
2015,AA,140
2015,UA,140
2015,UA,141
2015,UA,141
2015,UA,141
2015,DL,141
2015,UA,141
2015,DL,142
2015,DL,142
2015,DL,142
2015,DL,142
2015,UA,142
2015,DL,231
2015,UA,143
2015,AA,143
2015,DL,143
2015,DL,144
2015,AA,144
2015,DL,144
2015,AA,144
2015,AA,144
2015,DL,144
2015,AA,144
2015,DL,144
2015,UA,144
2015,AA,144
2015,AA,144
2015,UA,144
2015,UA,144
2015,AA,144
2015,AA,144
2015,UA,145
2015,AA,145
2015,UA,145
2015,UA,145
2015,DL,145
2015,AA,145
2015,AA,145
2015,AA,145
2015,AA,145
2015,AA,145
2015,AA,146
2015,UA,146
2015,UA,146
2015,AA,146
2015,AA,146
2015,AA,146
2015,UA,146
2015,UA,146
2015,UA,147
2015,DL,147
2015,UA,147
2015,UA,147
2015,UA,148
2015,DL,148
2015,DL,148
2015,DL,148
2015,UA,148
2015,AA,148
2015,UA,148
2015,UA,148
2015,AA,148
2015,AA,148
2015,AA,148
2015,AA,148
2015,DL,149
2015,UA,149
2015,UA,149
2015,UA,149
2015,UA,149
2015,DL,149
2015,AA,149
2015,UA,149
2015,UA,149
2015,UA,149
2015,UA,149
2015,UA,149
2015,AA,149
2015,AA,149
2015,UA,149
2015,UA,150
2015,UA,150
2015,AA,150
2015,AA,150
2015,AA,150
2015,DL,150
2015,AA,150
2015,UA,150
2015,AA,150
2015,UA,150
2015,AA,150
2015,UA,150
2015,AA,150
2015,AA,150
2015,AA,150
2015,AA,150
2015,AA,150
2015,UA,150
2015,AA,150
2015,AA,151
2015,UA,151
2015,UA,151
2015,UA,151
2015,DL,151
2015,AA,151
2015,UA,151
2015,AA,151
2015,AA,151
2015,UA,151
2015,UA,151
2015,AA,151
2015,AA,151
2015,DL,151
2015,AA,151
2015,UA,151
2015,UA,151
2015,AA,151
2015,AA,152
2015,AA,152
2015,DL,152
2015,AA,152
2015,AA,152
2015,AA,152
2015,UA,152
2015,UA,152
2015,UA,152
2015,UA,152
2015,UA,152
2015,UA,152
2015,AA,153
2015,AA,153
2015,AA,153
2015,UA,153
2015,AA,153
2015,DL,154
2015,AA,154
2015,AA,154
2015,UA,154
2015,DL,154
2015,UA,154
2015,DL,154
2015,AA,155
2015,AA,155
2015,UA,155
2015,AA,155
2015,DL,155
2015,DL,155
2015,AA,155
2015,AA,155
2015,UA,155
2015,UA,155
2015,AA,155
2015,AA,155
2015,UA,156
2015,UA,156
2015,UA,156
2015,AA,156
2015,UA,156
2015,AA,156
2015,AA,156
2015,DL,156
2015,UA,156
2015,DL,156
2015,AA,157
2015,AA,157
2015,DL,157
2015,UA,157
2015,AA,157
2015,AA,157
2015,AA,157
2015,UA,157
2015,DL,157
2015,AA,157
2015,UA,158
2015,UA,158
2015,UA,158
2015,UA,158
2015,DL,158
2015,AA,158
2015,AA,158
2015,AA,158
2015,AA,158
2015,AA,158
2015,AA,159
2015,DL,159
2015,UA,159
2015,UA,159
2015,UA,159
2015,AA,159
2015,UA,159
2015,UA,159
2015,AA,159
2015,UA,159
2015,AA,159
2015,AA,159
2015,AA,159
2015,DL,160
2015,AA,160
2015,AA,160
2015,AA,160
2015,UA,160
2015,DL,160
2015,DL,160
2015,UA,160
2015,DL,160
2015,UA,161
2015,AA,161
2015,AA,161
2015,UA,161
2015,AA,161
2015,UA,161
2015,UA,162
2015,UA,162
2015,UA,162
2015,UA,162
2015,DL,162
2015,DL,162
2015,UA,163
2015,UA,163
2015,AA,163
2015,UA,163
2015,UA,163
2015,UA,163
2015,AA,163
2015,UA,164
2015,UA,164
2015,UA,164
2015,DL,164
2015,DL,165
2015,UA,165
2015,AA,165
2015,UA,165
2015,UA,165
2015,UA,165
2015,UA,165
2015,UA,165
2015,UA,165
2015,DL,165
2015,AA,166
2015,UA,166
2015,UA,166
2015,UA,166
2015,DL,166
2015,DL,167
2015,UA,167
2015,UA,167
2015,AA,167
2015,UA,167
2015,UA,167
2015,UA,167
2015,AA,168
2015,AA,168
2015,AA,168
2015,AA,168
2015,AA,168
2015,DL,169
2015,DL,169
2015,DL,169
2015,UA,169
2015,UA,169
2015,UA,169
2015,DL,170
2015,UA,170
2015,DL,170
2015,AA,171
2015,AA,171
2015,AA,171
2015,UA,171
2015,AA,171
2015,DL,171
2015,DL,172
2015,AA,172
2015,UA,172
2015,UA,172
2015,UA,172
2015,DL,173
2015,UA,173
2015,UA,173
2015,DL,173
2015,UA,173
2015,DL,174
2015,AA,174
2015,AA,174
2015,DL,174
2015,DL,174
2015,AA,174
2015,DL,174
2015,AA,174
2015,UA,175
2015,UA,175
2015,UA,176
2015,UA,177
2015,UA,177
2015,DL,178
2015,DL,178
2015,UA,179
2015,AA,179
2015,AA,179
2015,AA,180
2015,UA,180
2015,AA,180
2015,DL,180
2015,AA,180
2015,UA,180
2015,DL,180
2015,UA,180
2015,AA,181
2015,AA,181
2015,DL,181
2015,AA,181
2015,DL,182
2015,DL,182
2015,UA,182
2015,DL,183
2015,AA,183
2015,AA,183
2015,UA,183
2015,AA,183
2015,AA,184
2015,DL,184
2015,DL,185
2015,DL,185
2015,AA,185
2015,DL,185
2015,AA,186
2015,UA,186
2015,UA,186
2015,AA,186
2015,UA,187
2015,AA,189
2015,UA,189
2015,AA,189
2015,AA,190
2015,DL,190
2015,UA,191
2015,UA,192
2015,UA,192
2015,UA,192
2015,DL,193
2015,DL,193
2015,DL,193
2015,DL,193
2015,AA,193
2015,UA,194
2015,DL,194
2015,AA,194
2015,AA,194
2015,UA,195
2015,DL,195
2015,UA,195
2015,AA,196
2015,AA,196
2015,AA,196
2015,UA,197
2015,UA,197
2015,UA,198
2015,AA,198
2015,AA,198
2015,DL,198
2015,AA,198
2015,UA,199
2015,DL,199
2015,AA,200
2015,DL,201
2015,AA,201
2015,AA,201
2015,AA,202
2015,AA,202
2015,AA,202
2015,DL,203
2015,UA,204
2015,UA,204
2015,AA,204
2015,UA,205
2015,AA,205
2015,AA,205
2015,DL,205
2015,AA,206
2015,DL,206
2015,UA,208
2015,UA,208
2015,UA,209
2015,AA,209
2015,DL,209
2015,UA,210
2015,DL,210
2015,DL,210
2015,UA,210
2015,UA,210
2015,UA,210
2015,AA,211
2015,AA,211
2015,DL,212
2015,AA,212
2015,AA,212
2015,UA,212
2015,AA,213
2015,DL,214
2015,UA,214
2015,UA,215
